name,path
html-snippets,https://catswhocode.com/html-snippets/
office,https://www.office.com/
腾讯文档,https://docs.qq.com
金山文档;wps,https://www.kdocs.cn
github,github.com;github.dev;github.io
worktile,https://worktile.com
飞书,https://www.feishu.cn
Lightly,https://lightly.teamcode.com/
微信,https://wx.qq.com/
npm,npmjs.com
react,https://reactjs.org/
vue,https://cn.vuejs.org
dockerhub,hub.docker.com
play-with-docker,https://www.docker.com/play-with-docker
vultr,https://www.vultr.com
阿里云,https://home.console.aliyun.com/
天翼云,https://www.ctyun.cn/console
腾讯云,https://console.cloud.tencent.com/
微信开放平台,https://open.weixin.qq.com/
飞书开放平台,open.feishu.cn/
腾讯文档开放平台,https://docs.qq.com/open/developers/#/login
网易云游戏,https://cg.163.com
apifox,https://www.apifox.cn
pixso,https://pixso.cn
figma,https://www.figma.com
蓝湖,https://lanhuapp.com
百度网盘,http://pan.baidu.com/
天翼云盘,https://cloud.189.cn
SQL-OnLine-IDE,https://sqliteonline.com/
photopea,https://www.photopea.com
CoCalc-Online-Linux-Terminal,https://cocalc.com/features/terminal
